modo,nivel,ativ,corr,opcao,arquivo
enc_par,1,1,0,P,TrechoDado_Ciranda_Parte1_FaM_AndBase.wav
enc_par,1,1,0,A,OpcaoA_CaiCaiBalao_Parte2_FaM_AndBase.wav
enc_par,1,1,1,B,OpcaoBCiranda_Parte2_FaM_AndBase.wav
enc_par,1,2,0,P,TrechoDado_Ciranda_Parte1_FaM_AndBase.wav
enc_par,1,2,0,A,OpcaoA_ParabensVoce_Parte2_FaM_AndBase.wav
enc_par,1,2,1,B,OpcaoB_Ciranda_Parte2_FaM_AndBase.wav
enc_par,1,2,0,C,OpcaoC_CaiCaiBalao_Parte2_FaM_AndBase.wav
enc_par,1,3,0,P,TrechoDado_Ciranda_Parte1_FaM_AndBase.wav
enc_par,1,3,0,A,OpcaoA_SitioMario_Parte2_FaM_AndBase.wav
enc_par,1,3,0,B,OpcaoB_CaiCaiBalao_Parte2_FaM_AndBase.wav
enc_par,1,3,0,C,OpcaoC_ParabensVoce_Parte2_FaM_AndBase.wav
enc_par,1,3,1,D,OpcaoD_Ciranda_Parte2_FaM_AndBase.wav
enc_par,2,1,0,P,TrechoDado_Ciranda_Parte1_FaM_AndBase.wav
enc_par,2,1,0,A,OpcaoA_CaiCaiBalao_Parte2_FaM_AndBase.wav
enc_par,2,1,1,B,OpcaoB_Ciranda_Parte2_FaM_AndBase.wav
enc_par,2,2,0,P,TrechoDado_Ciranda_Parte1_FaM_AndBase.wav
enc_par,2,2,0,A,OpcaoA_ParabensVoce_Parte2_FaM_AndBase.wav
enc_par,2,2,1,B,OpcaoB_Ciranda_Parte2_FaM_AndBase.wav
enc_par,2,2,0,C,OpcaoC_CaiCaiBalao_Parte2_FaM_AndBase.wav
enc_par,2,3,0,P,TrechoDado_Ciranda_Parte1_FaM_AndBase.wav
enc_par,2,3,0,A,OpcaoA_SitioMario_Parte2_FaM_AndBase.wav
enc_par,2,3,0,B,OpcaoB_CaiCaiBalao_Parte2_FaM_AndBase.wav
enc_par,2,3,0,C,OpcaoC_ParabensVoce_Parte2_FaM_AndBase.wav
enc_par,2,3,1,D,OpcaoD_Ciranda_Parte2_FaM_AndBase.wav
enc_par,3,1,0,P,TrechoDado_Ciranda_Parte2_FaM_AndBase.wav
enc_par,3,1,1,A,OpcaoA_Ciranda_Parte1_FaM_AndBase.wav
enc_par,3,1,0,B,OpcaoB_Parabens_Parte1_FaM_AndBase.wav
enc_par,3,2,0,P,TrechoDado_Ciranda_Parte2_FaM_AndBase.wav
enc_par,3,2,0,A,OpcaoA_CaiCaiBalao_Parte1_FaM_AndBase.wav
enc_par,3,2,1,B,OpcaoB_Ciranda_Parte1_FaM_AndBase.wav
enc_par,3,2,0,C,OpcaoC_SitioMario_Parte1_FaM_AndBase.wav
enc_par,3,3,0,P,TrechoDado_Ciranda_Parte2_FaM_AndBase.wav
enc_par,3,3,0,A,OpcaoA_Parabens_Parte1_FaM_AndBase.wav
enc_par,3,3,0,B,OpcaoB_SitioMario_Parte1_FaM_AndBase.wav
enc_par,3,3,1,C,OpcaoC_Ciranda_Parte1_FaM_AndBase.wav
enc_par,3,3,0,D,OpcaoD_CaiCaiBalao_Parte1_FaM_AndBase.wav
rap_dev,1,1,0,P,TrechoDado_Ciranda_Comp_FaM_AndBase.wav
rap_dev,1,1,0,A,OpcaoA_Ciranda_voztoc_DEVAGAR.wav
rap_dev,1,1,1,B,OpcaoB_Ciranda_voztoc_RAPIDO.wav
rap_dev,1,2,0,P,TrechoDado_Ciranda_Comp_FaM_AndBase.wav
rap_dev,1,2,1,A,OpcaoA_Ciranda_voztoc_DEVAGAR.wav
rap_dev,1,2,0,B,OpcaoB_Ciranda_voztoc_RAPIDO.wav
rap_dev,1,3,0,P,TrechoDado_Ciranda_Comp_FaM_AndBase.wav
rap_dev,1,3,0,A,OpcaoA_Ciranda_Comp_FaM_AndBase
rap_dev,1,3,1,B,OpcaoB_Ciranda_Comp_FaM_AndRap.wav
rap_dev,1,3,0,C,OpcaoC_Ciranda_Comp_FaM_AndDev.wav
rap_dev,1,4,0,P,TrechoDado_Ciranda_Comp_FaM_AndBase.wav
rap_dev,1,4,0,A,OpcaoA_Ciranda_Comp_FaM_AndRap.wav
rap_dev,1,4,0,B,OpcaoB_Ciranda_Comp_FaM_AndBase.wav
rap_dev,1,4,1,C,OpcaoC_Ciranda_Comp_FaM_AndDev.wav
rap_dev,1,5,0,P,TrechoDado_Ciranda_Comp_FaM_AndBase.wav
rap_dev,1,5,1,A,OpcaoA_ParabensVoce_Parte2_FaM_AndBase.wav
rap_dev,1,5,0,B,OpcaoB_ParabensVoce_Parte2_FaM_AndBase.wav
rap_dev,1,5,0,C,OpcaoC_Ciranda_Comp_FaM_AndRap.wav
rap_dev,1,5,0,D,OpcaoD_Ciranda_Comp_FaM_AndDev.wav
rap_dev,1,6,0,P,TrechoDado_Ciranda_Comp_FaM_AndBase.wav
rap_dev,1,6,0,A,OpcaoA_Ciranda_Comp_FaM_AndBase.wav
rap_dev,1,6,0,B,OpcaoB_Ciranda_Comp_FaM_AndBase_Grav.wav
rap_dev,1,6,0,C,OpcaoC_Ciranda_Comp_FaM_AndRap.wav
rap_dev,1,6,1,D,OpcaoD_Ciranda_Comp_FaM_AndDev.wav
rap_dev,2,1,0,P,TrechoDado_Ciranda_Comp_FaM_AndBase.wav
rap_dev,2,1,1,A,OpcaoA_CaiCaiBalao_Comp_FaM_AndRap.wav
rap_dev,2,1,0,B,OpcaoB_Ciranda_Comp_FaM_AndDev.wav
rap_dev,2,2,0,P,TrechoDado_Ciranda_Comp_FaM_AndBase.wav
rap_dev,2,2,1,A,OpcaoA_CaiCaiBalao_Comp_FaM_AndDev.wav
rap_dev,2,2,0,B,OpcaoB_Ciranda_Comp_FaM_AndRap.wav
rap_dev,2,3,0,P,TrechoDado_Ciranda_Comp_FaM_AndBase.wav
rap_dev,2,3,0,A,OpcaoA_Ciranda_Comp_FaM_AndBase.wav
rap_dev,2,3,1,B,OpcaoB_Ciranda_Comp_FaM_AndRap.wav
rap_dev,2,3,0,C,OpcaoC_Ciranda_Comp_FaM_AndDev.wav
rap_dev,2,4,0,P,TrechoDado_Ciranda_Comp_FaM_AndBase.wav
rap_dev,2,4,0,A,OpcaoA_Ciranda_Comp_FaM_AndBase.wav
rap_dev,2,4,0,B,OpcaoB_Ciranda_Comp_FaM_AndRap.wav
rap_dev,2,4,1,C,OpcaoC_Ciranda_Comp_FaM_AndDev.wav
rap_dev,2,5,0,P,TrechoDado_Ciranda_Comp_FaM_AndBase.wav
rap_dev,2,5,0,A,OpcaoA_Ciranda_Comp_FaM_AndBase.wav
rap_dev,2,5,0,B,OpcaoB_Ciranda_Comp_FaM_AndBase_Agu.wav
rap_dev,2,5,1,C,OpcaoC_Ciranda_Comp_FaM_AndRap.wav
rap_dev,2,5,0,D,OpcaoD_Ciranda_Comp_FaM_AndDev.wav
rap_dev,2,6,0,P,TrechoDado_Ciranda_Comp_FaM_AndBase.wav
rap_dev,2,6,0,A,OpcaoA_Ciranda_Comp_FaM_AndBase.wav
rap_dev,2,6,0,B,OpcaoB_Ciranda_Comp_FaM_AndBase_Grav.wav
rap_dev,2,6,0,C,OpcaoC_Ciranda_Comp_FaM_AndRap.wav
rap_dev,2,6,1,D,OpcaoD_Ciranda_Comp_FaM_AndDev.wav
rap_dev,3,1,0,P,TrechoDado_Ciranda_Comp_FaM_AndBase.wav
rap_dev,3,1,1,A,OpcaoA_Ciranda_Comp_FaM_AndRap.wav
rap_dev,3,1,0,B,OpcaoB_Ciranda_Comp_FaM_AndBase_Flauta.wav
rap_dev,3,2,0,P,TrechoDado_Ciranda_Comp_FaM_AndBase.wav
rap_dev,3,2,0,A,OpcaoA_Ciranda_Comp_FaM_AndBase_Cello.wav
rap_dev,3,2,1,B,OpcaoB_Ciranda_Comp_FaM_AndDev.wav
rap_dev,3,3,0,P,TrechoDado_Ciranda_Comp_FaM_AndBase.wav
rap_dev,3,3,0,A,OpcaoA_Parabens_Comp_FaM_AndRap.wav
rap_dev,3,3,1,B,OpcaoB_Ciranda_Comp_FaM_AndRap.wav
rap_dev,3,3,0,C,OpcaoC_Ciranda_Comp_FaM_AndBase_Agu.wav
rap_dev,3,4,0,P,TrechoDado_Ciranda_Comp_FaM_AndBase.wav
rap_dev,3,4,0,A,OpcaoA_Parabens_Comp_FaM_AndDev.wav
rap_dev,3,4,0,B,OpcaoB_Ciranda_Comp_FaM_AndBase_Grav.wav
rap_dev,3,4,1,C,OpcaoC_Ciranda_Comp_FaM_AndDev.wav
rap_dev,3,5,0,P,TrechoDado_Ciranda_Comp_FaM_AndBase.wav
rap_dev,3,5,0,A,OpcaoA_CaiCai_Comp_FaM_AndRap.wav
rap_dev,3,5,0,B,OpcaoB_Parabens_Comp_FaM_AndDev.wav
rap_dev,3,5,1,C,OpcaoC_Ciranda_Comp_FaM_AndRap.wav
rap_dev,3,5,0,D,OpcaoD_Ciranda_Comp_FaM_AndBase.wav
rap_dev,3,6,0,P,TrechoDado_Ciranda_Comp_FaM_AndBase.wav
rap_dev,3,6,0,A,OpcaoA_Ciranda_Comp_FaM_AndBase_Grav.wav
rap_dev,3,6,1,B,OpcaoB_CirOpcaoB_Ciranda_Comp_FaM_AndDevanda_Comp_FaM_AndBase_Grav.wav
rap_dev,3,6,0,C,OpcaoC_Ciranda_Comp_FaM_AndRap.wav
rap_dev,3,6,0,D,OpcaoD_CaiCai_Comp_FaM_AndDev.wav
rap_dev,4,1,0,P,TrechoDado_Ciranda_Comp_FaM_AndBase.wav
rap_dev,4,1,0,A,OpcaoA_Ciranda_Comp_FaM_AndDev.wav
rap_dev,4,1,1,B,OpcaoB_Ciranda_Comp_FaM_AndRap.wav
rap_dev,4,2,0,P,TrechoDado_Ciranda_Comp_FaM_AndBase.wav
rap_dev,4,2,1,A,OpcaoA_Ciranda_Comp_FaM_AndDev.wav
rap_dev,4,2,0,B,OpcaoB_Ciranda_Comp_FaM_AndRap.wav
rap_dev,4,3,0,P,TrechoDado_Ciranda_Comp_FaM_AndBase.wav
rap_dev,4,3,0,A,OpcaoA_Ciranda_Comp_FaM_AndBase.wav
rap_dev,4,3,1,B,OpcaoB_Ciranda_Comp_FaM_AndRap.wav
rap_dev,4,3,0,C,OpcaoC_Ciranda_Comp_FaM_AndDev.wav
rap_dev,4,4,0,P,TrechoDado_Ciranda_Comp_FaM_AndBase.wav
rap_dev,4,4,0,A,OpcaoA_Ciranda_Comp_FaM_AndRap.wav
rap_dev,4,4,0,B,OpcaoB_Ciranda_Comp_FaM_AndBase.wav
rap_dev,4,4,1,C,OpcaoC_Ciranda_Comp_FaM_AndDev.wav
rap_dev,4,5,0,P,TrechoDado_Ciranda_Comp_FaM_AndBase.wav
rap_dev,4,5,1,A,OpcaoA_ParabensVoce_Parte2_FaM_AndBase.wav
rap_dev,4,5,0,B,OpcaoB_ParabensVoce_Parte1_FaM_AndBase.wav
rap_dev,4,5,0,C,OpcaoC_Ciranda_Comp_FaM_AndRap.wav
rap_dev,4,5,0,D,OpcaoD_Ciranda_Comp_FaM_AndDev.wav
rap_dev,4,6,0,P,TrechoDado_Ciranda_Comp_FaM_AndBase.wav
rap_dev,4,6,0,A,OpcaoA_Ciranda_Comp_FaM_AndBase.wav
rap_dev,4,6,0,B,OpcaoB_Ciranda_Comp_FaM_AndBase_Grav.wav
rap_dev,4,6,0,C,OpcaoC_Ciranda_Comp_FaM_AndRap.wav
rap_dev,4,6,1,D,OpcaoD_Ciranda_Comp_FaM_AndDev.wav
agu_gra,1,1,0,P,TrechoDado_Ciranda_Comp_DoM_AndRap.wav
agu_gra,1,1,1,A,OpcaoA_Ciranda_Comp_SibM_AndBase_Agu.wav
agu_gra,1,1,0,B,OpcaoB_Ciranda_Comp_DoM_AndBaseGrav.wav
agu_gra,1,2,0,P,TrechoDado_Ciranda_Comp_DoM_AndRap.wav
agu_gra,1,2,0,A,Ciranda_Comp_SibM_AndBase_Agu.wav
agu_gra,1,2,1,B,OpcaoB_Ciranda_Comp_DoM_AndBaseGrav.wav
agu_gra,1,3,0,P,TrechoDado_Ciranda_Comp_FaM_AndBase.wav
agu_gra,1,3,0,A,OpcaoA_Ciranda_Comp_FaM_AndBase.wav
agu_gra,1,3,1,B,OpcaoB_Ciranda_Comp_SibM_AndBase_Agu.wav
agu_gra,1,3,0,C,OpcaoC_Ciranda_Comp_DoM_AndBaseGrav.wav
agu_gra,1,4,0,P,TrechoDado_Ciranda_Comp_FaM_AndBase.wav
agu_gra,1,4,0,A,OpcaoA_Ciranda_Comp_FaM_AndBase.wav
agu_gra,1,4,0,B,OpcaoB_Ciranda_Comp_SibM_AndBase_Agu.wav
agu_gra,1,4,1,C,OpcaoC_Ciranda_Comp_DoM_AndBaseGrav.wav
agu_gra,1,5,0,P,TrechoDado_Ciranda_Comp_FaM_AndBase.wav
agu_gra,1,5,0,A,OpcaoA_Ciranda_Comp_FaM_AndBase.wav
agu_gra,1,5,0,B,OpcaoB_Ciranda_Comp_SibM_AndBase_Agu.wav
agu_gra,1,5,0,C,OpcaoC_Ciranda_Comp_DoM_AndBaseGrav.wav
agu_gra,1,5,1,D,OpcaoD_Ciranda_Comp_DoM_AndRap.wav
agu_gra,1,6,0,P,TrechoDado_Ciranda_Comp_FaM_AndBase.wav
agu_gra,1,6,0,A,OpcaoA_Ciranda_Comp_FaM_AndBase.wav
agu_gra,1,6,0,B,OpcaoB_Ciranda_Comp_SibM_AndBase_Agu.wav
agu_gra,1,6,1,C,OpcaoC_Ciranda_Comp_DoM_AndBaseGrav.wav
agu_gra,1,6,0,D,OpcaoD_Ciranda_Comp_SibM_AndDev.wav
agu_gra,2,1,0,P,TrechoDado_Ciranda_Comp_DoM_AndBaseGrav.wav
agu_gra,2,1,1,A,OpcaoA_Ciranda_Comp_SibM_AndBase_Agu.wav
agu_gra,2,1,0,B,OpcaoB_Ciranda_Comp_DoM_AndRap.wav
agu_gra,2,2,0,P,TrechoDado_Ciranda_Comp_SibM_AndBaseAgu.wav
agu_gra,2,2,0,A,OpcaoA_Ciranda_Comp_SibM_AndDev.wav 
agu_gra,2,2,1,B,OpcaoB_Ciranda_Comp_DoM_AndBaseGrav.wav
agu_gra,2,3,0,P,TrechoDado_Ciranda_Comp_FaM_AndBase.wav
agu_gra,2,3,0,A,OpcaoA_Ciranda_Comp_FaM_AndBase.wav
agu_gra,2,3,1,B,OpcaoB_Ciranda_Comp_SibM_AndBase_Agu.wav
agu_gra,2,3,0,C,OpcaoC_Ciranda_Comp_DoM_AndBase_Grav.wav
agu_gra,2,4,0,P,TrechoDado_Ciranda_Comp_FaM_AndBase.wav
agu_gra,2,4,0,A,OpcaoA_Ciranda_Comp_FaM_AndBase.wav
agu_gra,2,4,0,B,OpcaoB_Ciranda_Comp_SibM_AndBase_Agu.wav
agu_gra,2,4,1,C,OpcaoC_Ciranda_Comp_DoM_AndBase_Grav.wav
agu_gra,2,5,0,P,TrechoDado_Ciranda_Comp_FaM_AndBase.wav
agu_gra,2,5,0,A,OpcaoA_Ciranda_Comp_FaM_AndBase.wav
agu_gra,2,5,1,B,OpcaoB_Ciranda_Comp_SibM_AndBase_Agu.wav
agu_gra,2,5,0,C,OpcaoC_Ciranda_Comp_DoM_AndBase_Grav.wav 
agu_gra,2,5,0,D,OpcaoD_Ciranda_Comp_DoM_AndRap.wav
agu_gra,2,6,0,P,TrechoDado_Ciranda_Comp_FaM_AndBase.wav
agu_gra,2,6,0,A,OpcaoA_Ciranda_Comp_FaM_AndBase.wav
agu_gra,2,6,0,B,OpcaoB_Ciranda_Comp_SibM_AndBase_Agu.wav
agu_gra,2,6,1,C,OpcaoC_Ciranda_Comp_DoM_AndBase_Grav.wav
agu_gra,2,6,0,D,OpcaoD_Ciranda_Comp_SibM_AndDev.wav 
agu_gra,3,1,0,P,TrechoDado_Ciranda_Comp_DoM_AndBaseGrav.wav
agu_gra,3,1,0,A,OpcaoA_CaiCai_Comp_DoM_AndRap.wav 
agu_gra,3,1,1,B,OpcaoB_Ciranda_Comp_SibM_AndBase_Agu.wav
agu_gra,3,2,0,P,TrechoDado_Ciranda_Comp_SibM_AndBaseAgu.wav
agu_gra,3,2,0,A,OpcaoA_CaiCai_Comp_SibM_AndDev.wav 
agu_gra,3,2,1,B,OpcaoB__Ciranda_Comp_DoM_AndBase.wav
agu_gra,3,3,0,P,TrechoDado_Ciranda_Comp_FaM_AndBase.wav
agu_gra,3,3,0,A,OpcaoA_Ciranda_Comp_DoM_AndBase.wav
agu_gra,3,3,1,B,OpcaoB_Ciranda_Comp_SibM_AndBase_Agu.wav 
agu_gra,3,3,0,C,OpcaoC_Parabens_Comp_DoM_AndBase.wav
agu_gra,3,4,0,P,TrechoDado_Ciranda_Comp_FaM_AndBase.wav
agu_gra,3,4,0,A,OpcaoA_Ciranda_Comp_SibM_AndBase_Agu.wav
agu_gra,3,4,1,B,OpcaoB_Ciranda_Comp_DoM_AndBase_Grav.wav 
agu_gra,3,4,0,C,OpcaoC_SitioVelhoMario_Comp_DoM_AndBase.wav 
agu_gra,3,5,0,P,TrechoDado_Ciranda_Comp_DoM_AndBaseGrav.wav
agu_gra,3,5,0,A,OpcaoA_Parabens_Comp_DoM_AndBase.wav
agu_gra,3,5,0,B,OpcaoB_Parabens_Comp_FaM_AndBase.wav
agu_gra,3,5,1,C,OpcaoC_Ciranda_Comp_SibM_AndBase_Agu.wav
agu_gra,3,5,0,D,OpcaoD_Ciranda_Comp_DoM_AndRap.wav
agu_gra,3,6,0,P,TrechoDado_Ciranda_Comp_SibM_AndBaseAgu.wav
agu_gra,3,6,0,A,OpcaoA_Ciranda_Comp_SibM_AndDev.wav
agu_gra,3,6,0,B,OpcaoB_CaiCai_Comp_FaM_AndBase.wav 
agu_gra,3,6,0,C,OpcaoC_Ciranda_Comp_SibM_AndRap.wav
agu_gra,3,6,1,D,OpcaoD_Ciranda_Comp_DoM_AndBase.wav
